suburb_name,postcode,state_code,location_code,country_code
Brooman,2538,NSW,BBAY,AU
Broomehill,6318,WA,MEL,AU
Broomehill West,6318,WA,MEL,AU
Brooms Head,2463,NSW,COFF,AU
Broughton,3418,VIC,HOR,AU
Broughton River Valley,5454,SA,MEL,AU
Brown Hill,3350,VIC,BLR,AU
Brownlow,5374,SA,MEL,AU
Browns Mountain,2540,NSW,BBAY,AU
Browns Plains Bc,4118,QLD,GOL,AU
Bruah,2830,NSW,CWT,AU
Bruie Plains,2875,NSW,CWT,AU
Brunchilly,0861,NT,,AU
Brunswick,3056,VIC,MEL,AU
Brushy Creek,2365,NSW,SYD,AU
Buchanan,2323,NSW,NEWC,AU
Buchanan,5374,SA,MEL,AU
Buckland,7190,TAS,TAS,AU
Buffalo,3958,VIC,GPS,AU
Bugaldie,2357,NSW,SYD,AU
Bukalong,2632,NSW,BEG,AU
Abbeyard,3737,VIC,ALB,AU
Aberdeen,7310,TAS,TAS,AU
Acacia Hills,7306,TAS,TAS,AU
ACACIA HILLS,822,VIC,MEL,AU
Acacia Ridge Dc,4110,QLD,BNE,AU
Adavale,4474,QLD,BNE,AU
Adelaide Mail Centre,5866,SA,MEL,AU
Adelaide Mail Centre,5872,SA,MEL,AU
Adelaide Mail Centre,5876,SA,MEL,AU
Adelaide Mail Centre,5892,SA,MEL,AU
Adelaide Mail Centre,5896,SA,MEL,AU
Adelaide Mail Centre,5902,SA,MEL,AU
Aeroglen,4870,QLD,BNE,AU
Airdmillan,4807,QLD,TSV,AU
Alabama Hill,4820,QLD,TSV,AU
Albanvale,3021,VIC,MEL,AU
Albany Creek,4035,QLD,BNE,AU
Alberton,3971,VIC,GPS,AU
Albion Bc,4010,QLD,BNE,AU
Aldgate,5154,SA,ADE,AU
Alexander Heights,6064,WA,MEL,AU
Alexandra Headland,4572,QLD,SSC,AU
Alexandria,1435,NSW,SYD,AU
Ali Curung,0872,NT,,AU
Alice Springs,0870,NT,,AU
Alkimos,6038,WA,MEL,AU
Allans Flat,3691,VIC,ALB,AU
Allendale,3364,VIC,BLR,AU
Alloway,4670,QLD,BNE,AU
Alpine,2575,NSW,WOL,AU
Alsace,4702,QLD,BNE,AU
Alva,4807,QLD,TSV,AU
Amamoor Creek,4570,QLD,SSC,AU
