permission,description,accounts,administrator,agency,branch_franchise_manager,business_development,cco,cso_am,executive,crew,after_hours_crew,team_leader,warehouse,operations,scheduler
jobs.usage.allowances.manage,Can manage job allowances,yes,yes,,yes,yes,,yes,yes,,,,,yes,yes
jobs.usage.allowances.approve,Can approve allowances,yes,yes,,yes,,,,yes,,,,,,
jobs.usage.reimbursements.manage,Can manage job reimbursements,yes,yes,,yes,,yes,yes,yes,,,,,yes,yes
jobs.usage.reimbursements.approve,Can approve reimbursement compensations,yes,yes,,yes,,,,yes,,,,,,
equipment.view,Allows to view equipment,yes,yes,,,,,,,,,,,,
equipment.notes.edit,Allows to attach/detach note to/from equipment,,yes,,yes,,,,,,,,yes,yes,
assessment_reports.view,Can view assessment reports,yes,yes,,yes,yes,yes,yes,yes,,,,,,
assessment_reports.manage,Can manage assessment reports,yes,yes,,yes,yes,yes,yes,yes,,,,,,
assessment_reports.approve,Allows to approve assessment reports,yes,yes,,yes,yes,,yes,yes,,,,,,
assessment_reports.manage_cancelled,Allows to change status of cancelled assessment reports,yes,yes,,yes,yes,,yes,yes,,,,,,
